"","N1","N2","N3","T1","T2","T3","U1","U2","U3","U87"
"hsa-mir-6084_66",0,0,0,0,0,0,0,1.11799199723358,0,0
"hsa-miR-6084_67",0,0,0,0,0,0,0,1.11799199723358,0,0
"hsa-mir-1256_68",0,0,0,0.419172906676588,0,1.54491660467928,0,2.23598399446716,0,1.78321561275052
"hsa-miR-1256_69",0,0,0,0,0,1.54491660467928,0,0,0,0
"hsa-mir-4418_70",0,0,0,0,0,0,0,0,0,0
"hsa-miR-4418_71",0,0,0,0,0,0,0,0,0,0
"hsa-mir-6127_72",0,0,0,0,0,0,0,0,0,0
"hsa-miR-6127_73",0,0,0,0,0,0,0,0,0,0
"hsa-mir-4684_74",13.27753607391,9.75144615499021,7.91903039404723,9.22180394688493,0.945857982428512,10.0419579304153,2.4308383514083,1.11799199723358,3.12016862113176,32.0978810295093
"hsa-miR-4684-5p_75",1.20704873399182,0,0,2.09586453338294,0.945857982428512,3.08983320935855,0.810279450469433,0,2.08011241408784,1.78321561275052
"hsa-miR-4684-3p_76",12.0704873399182,9.75144615499021,7.91903039404723,7.12593941350199,0,6.95212472105674,1.62055890093887,1.11799199723358,1.04005620704392,30.3146654167588
"hsa-mir-4253_77",0,0,0,0,0,0,0,0,0,0
"hsa-miR-4253_78",0,0,0,0,0,0,0,0,0,0
"hsa-mir-3115_79",0,1.08349401722113,1.31983839900787,0.419172906676588,0.945857982428512,0,0,2.23598399446716,1.04005620704392,0
"hsa-miR-3115_80",0,1.08349401722113,1.31983839900787,0.419172906676588,0.945857982428512,0,0,1.11799199723358,1.04005620704392,0
"hsa-mir-4419a_81",0,0,0,0,0,0,0,0,0,0
"hsa-miR-4419a_82",0,0,0,0,0,0,0,0,0,0
"hsa-mir-378f_83",0,0,0,0.838345813353176,0,0.772458302339638,0,0,0,10.6992936765031
"hsa-miR-378f_84",0,0,0,0.838345813353176,0,0.772458302339638,0,0,0,10.6992936765031
"hsa-mir-6731_85",0,0,0,0,0,0,0.810279450469433,0,0,0
"hsa-miR-6731-5p_86",0,0,0,0,0,0,0.810279450469433,0,0,0
"hsa-miR-6731-3p_87",0,0,0,0,0,0,0,0,0,0
"hsa-mir-4425_88",1.20704873399182,7.58445812054794,10.558707192063,3.3533832534127,1.89171596485702,3.86229151169819,12.1541917570415,7.82594398063505,2.08011241408784,0
"hsa-miR-4425_89",1.20704873399182,7.58445812054794,9.2388687930551,2.93421034673611,1.89171596485702,3.08983320935855,12.1541917570415,7.82594398063505,2.08011241408784,0
"hsa-mir-3917_90",9.65638987193456,5.41747008610567,3.95951519702361,21.7969911471826,18.9171596485702,15.4491660467928,5.67195615328603,8.94393597786863,5.2002810352196,0
"hsa-miR-3917_91",9.65638987193456,5.41747008610567,3.95951519702361,21.7969911471826,18.9171596485702,14.6767077444531,5.67195615328603,8.94393597786863,5.2002810352196,0
"hsa-mir-1976_92",1.20704873399182,6.50096410332681,6.59919199503936,11.3176684802679,10.4044378067136,3.86229151169819,6.48223560375546,10.0619279751022,9.36050586339529,3.56643122550103
"hsa-miR-1976_93",1.20704873399182,6.50096410332681,6.59919199503936,11.3176684802679,10.4044378067136,3.86229151169819,6.48223560375546,10.0619279751022,9.36050586339529,3.56643122550103
"hsa-mir-4420_94",0,0,0,14.6710517336806,13.2420117539992,7.72458302339638,0,3.35397599170074,4.16022482817568,0
"hsa-miR-4420_95",0,0,0,14.6710517336806,13.2420117539992,7.72458302339638,0,3.35397599170074,4.16022482817568,0
"hsa-mir-4254_96",0,0,0,1.25751872002976,0.945857982428512,2.31737490701891,1.62055890093887,1.11799199723358,2.08011241408784,0
"hsa-miR-4254_97",0,0,0,0.838345813353176,0.945857982428512,2.31737490701891,1.62055890093887,0,1.04005620704392,0
"hsa-mir-5585_98",0,0,0,0,0,0,0,0,0,0
"hsa-miR-5585-5p_99",0,0,0,0,0,0,0,0,0,0
"hsa-miR-5585-3p_100",0,0,0,0,0,0,0,0,0,0
"hsa-mir-3605_101",57.9383392316074,39.0057846199609,52.7935359603149,13.4135330136508,10.4044378067136,19.3114575584909,21.0672657122052,22.3598399446716,19.7610679338345,23.1818029657567
"hsa-miR-3605-5p_102",26.5550721478201,14.0854222238748,35.6356367732125,9.22180394688493,0.945857982428512,9.26949962807565,8.10279450469433,11.1799199723358,10.4005620704392,3.56643122550103
"hsa-miR-3605-3p_103",31.3832670837873,22.7533743616438,15.8380607880945,4.19172906676588,9.45857982428512,10.0419579304153,12.9644712075109,11.1799199723358,9.36050586339529,19.6153717402557
"hsa-mir-552_104",0,2.16698803444227,1.31983839900787,2.09586453338294,0.945857982428512,0,0,1.11799199723358,1.04005620704392,1.78321561275052
"hsa-miR-552-3p_105",0,1.08349401722113,1.31983839900787,1.67669162670635,0.945857982428512,0,0,1.11799199723358,0,0
"hsa-miR-552-5p_106",0,1.08349401722113,0,0.419172906676588,0,0,0,0,1.04005620704392,1.78321561275052
"hsa-mir-4255_107",0,0,0,0,0,0,0,0,0,0
"hsa-miR-4255_108",0,0,0,0,0,0,0,0,0,0
"hsa-mir-6732_109",2.41409746798364,1.08349401722113,3.95951519702361,1.25751872002976,0.945857982428512,1.54491660467928,1.62055890093887,1.11799199723358,4.16022482817568,0
"hsa-miR-6732-5p_110",0,0,0,0,0,0.772458302339638,0,0,1.04005620704392,0
"hsa-miR-6732-3p_111",2.41409746798364,1.08349401722113,3.95951519702361,1.25751872002976,0.945857982428512,0.772458302339638,1.62055890093887,1.11799199723358,3.12016862113176,0
"hsa-mir-5581_112",1.20704873399182,2.16698803444227,6.59919199503936,3.3533832534127,3.78343192971405,3.08983320935855,8.91307395516376,0,5.2002810352196,7.13286245100207
"hsa-miR-5581-5p_113",0,0,0,0,0,0,1.62055890093887,0,0,0
"hsa-miR-5581-3p_114",1.20704873399182,2.16698803444227,6.59919199503936,3.3533832534127,3.78343192971405,3.08983320935855,7.29251505422489,0,5.2002810352196,7.13286245100207
"hsa-mir-3659_115",1.20704873399182,1.08349401722113,0,0.419172906676588,0,0,0,0,0,0
"hsa-miR-3659_116",1.20704873399182,1.08349401722113,0,0.419172906676588,0,0,0,0,0,0
"hsa-mir-30e_117",20129.9517367816,19868.0297937839,20379.6247190805,40007.5389048403,38013.0864558195,35883.0055185832,24167.3948897013,25263.2651614872,23215.0945974274,21578.692129894
"hsa-miR-30e-5p_118",18715.2906205432,18760.698908184,19115.219532831,37956.9450453784,36132.7207867516,34251.5735840419,22810.9870896155,24058.0697884694,21953.5064182831,17976.596592138
"hsa-miR-30e-3p_119",1407.41882383446,1104.08040354834,1257.8059942545,2029.21604122136,1862.39436740174,1612.12047698282,1351.54612338301,1188.42549305929,1252.22767328088,3594.96267530504
